,POINT_X,POINT_Y,field_sage,landfire_sage
326,426853.2395,4075314.595,absent,absent
342,415607.3664,4082805.683,absent,absent
343,415606.677,4082755.688,absent,absent
344,415605.9876,4082705.692,absent,absent
345,415605.2982,4082655.697,absent,absent
346,415604.6089,4082605.702,absent,absent
348,415603.2301,4082505.711,absent,absent
349,415602.5407,4082455.716,absent,absent
350,415601.8513,4082405.721,absent,absent
351,415601.1619,4082355.726,absent,absent
352,415600.4725,4082305.73,absent,absent
353,415599.7832,4082255.735,absent,absent
354,415599.0938,4082205.74,absent,absent
355,415598.4044,4082155.745,absent,absent
356,415597.715,4082105.749,absent,absent
357,415597.0256,4082055.754,absent,absent
358,415596.3362,4082005.759,absent,absent
359,415595.6468,4081955.764,absent,absent
360,415594.9574,4081905.768,absent,absent
361,415594.2681,4081855.773,absent,absent
362,415593.5787,4081805.778,absent,absent
363,415592.8893,4081755.783,absent,absent
364,415592.1999,4081705.788,absent,absent
365,415591.5105,4081655.792,absent,absent
366,415590.8211,4081605.797,absent,absent
367,415590.1317,4081555.802,absent,absent
368,415589.4424,4081505.807,absent,absent
369,415588.753,4081455.811,absent,absent
370,415588.0636,4081405.816,absent,absent
371,415587.3742,4081355.821,absent,absent
372,415586.6848,4081305.826,absent,absent
373,415585.9954,4081255.83,absent,absent
374,415585.306,4081205.835,absent,absent
375,415584.9258,4081178.26,absent,absent
